Comment,Designator,Footprint,LibRef,Quantity,Supplier 1,Supplier Part Number 1

"100nF","C1, C12, C13, C14, C17, C18, C19, C28A, C28B, C28C, C28D, C31A, C31B, C31C, C31D, C34A, C34B, C34C, C34D, C36A, C36B, C36C, C36D, C37A, C37B, C37C, C37D, C39A, C39B, C39C, C39D, C59, C63A, C63B, C63C, C63D, C64A, C64B, C64C, C64D, C78A, C78B, C78C, C78D, C98, C99, C100, C101A, C101B, C101C, C101D, C107, C108A, C108B, C108C, C108D, C109A, C109B, C109C, C109D, C110A, C110B, C110C, C110D, C124A, C124B, C124C, C124D, C127A, C127B, C127C, C127D, C128A, C128B, C128C, C128D, C129A, C129B, C129C, C129D, C130A, C130B, C130C, C130D, C131A, C131B, C131C, C131D, C134","GEN_C_0402","CAP 100nF 16V X7R 0402","89","Digi-Key","490-4759-1-ND, 490-4759-6-ND"
"22uF","C2, C3, C53, C91","GEN_C_0805","CAP 22uF 25V X5R 0805","4","Digi-Key","490-10749-1-ND"
"1nF","C4, C32A, C32B, C32C, C32D, C45, C46, C56","GEN_C_0402","CAP 1nF 50V C0G 0402","8","Digi-Key","490-6189-1-ND"
"10uF","C5, C6, C7, C8, C11, C52, C60","GEN_C_0603","CAP 10uF 10V X5R 0603","7","Digi-Key","490-10474-1-ND"
"1uF","C9, C35A, C35B, C35C, C35D, C41, C42, C49, C50, C54, C58, C82, C83, C84, C85, C86, C87, C88, C89, C90, C92, C93, C94, C95, C105, C106, C112, C113, C114, C115, C116, C125, C126, C132A, C132B, C132C, C132D","GEN_C_0402","CAP 1uF 25V X5R 0402","37","Digi-Key","490-10017-1-ND"
"10nF","C10, C33A, C33B, C33C, C33D, C43, C44, C47, C48, C55, C57","GEN_C_0402","CAP 10nF 50V X7R 0402","11","Digi-Key","490-6351-1-ND"
"100nF","C16, C65, C68, C69, C72, C73, C76, C77, C80, C81","GEN_C_0201","CAP 100nF 6.3V X5R 0201","10","Digi-Key","490-3167-1-ND"
"2pF","C20A, C20B, C20C, C20D, C22A, C22B, C22C, C22D","GEN_C_0603","CAP 2pF 250V C0G 0603","8","Mouser","80-CBR06C209BAG"
"5.1pF","C21A, C21B, C21C, C21D","GEN_C_0603","CAP 5.1pF 250V C0G 0603","4","Mouser","80-CBR06C519BAGAC"
"240pF","C23A, C23B, C23C, C23D","GEN_C_0805","CAP 240pF 250V C0G 0805","4","Digi-Key","1284-1897-1-ND"
"22nF","C26A, C26B, C26C, C26D, C27A, C27B, C27C, C27D","GEN_C_0603","CAP 22nF 100V X7R 0603","8","Digi-Key","490-4782-1-ND"
"100pF","C29A, C29B, C29C, C29D, C30A, C30B, C30C, C30D","GEN_C_0402","CAP 100pF 50V C0G 0402","8","Digi-Key","490-14349-1-ND"
"2.2uF","C38A, C38B, C38C, C38D, C61, C102A, C102B, C102C, C102D, C111A, C111B, C111C, C111D, C133A, C133B, C133C, C133D","GEN_C_0402","CAP 2.2uF 10V X5R 0402","17","Digi-Key","587-3153-1-ND"
"39pF","C51","GEN_C_0402","CAP 39pF 50V C0G 0402","1","Digi-Key","399-C0402C390J5GAC7867CT-ND"
"0","C96, C97, C103, C104, FB4A, FB4B, FB4C, FB4D, FB6A, FB6B, FB6C, FB6D, R1, R52A, R52B, R52C, R52D, R56A, R56B, R56C, R56D, R88, R97A, R97B, R97C, R97D, R106, R108, R120A, R120B, R120C, R120D","GEN_R_0402","RES 0 OHM 1/16W 0402","32","Digi-Key","311-0.0JRCT-ND"
"GREEN","D1","LED_0603_LTST-S270K","LED GREEN 0603 LTST-S270K","1","Digi-Key","160-1478-1-ND"
"1N4148","D2A, D2B, D2C, D2D, D3A, D3B, D3C, D3D","GEN_SOD_323","DIODE 1N4148","8","Digi-Key","1N4148WS-FDICT-ND"
"TPD1E1B04","D4, D5","TI_X1SON_DPY0002A","TVS TPD1E1B04","2","Digi-Key","296-47364-1-ND"
"120@100MHZ","FB1, FB2, FB3, FB5, FB7A, FB7B, FB7C, FB7D, FB8A, FB8B, FB8C, FB8D, FB9A, FB9B, FB9C, FB9D, FB10A, FB10B, FB10C, FB10D","GEN_R_0402","FERRITE BEAD 120 OHM 0402","20","Digi-Key","490-9656-1-ND"
"TSW-101-08-F-D-RA","J1","GEN_2.54MM_1X2_PIN_TH_RA","CONN 2.54mm 2 Pin TH RA","1","Digi-Key","SAM12296-ND"
"BNC","J2A, J2B, J2C, J2D, J7, J9","MOL_0731000105","BNC JACK R/A","6","Digi-Key","WM5524-ND"
"2.54mm 6 Pin TH","J8","GEN_2.54MM_6_PIN_TH_RA","CONN 2.54mm 6 Pin TH RA","1","Digi-Key","732-5339-ND"
"CONN M.2 Key M FEMALE","J10","TE_M2_KEYM_2199230","CONN M.2 Key M FEMALE","1","Digi-Key","A124992CT-ND"
"B2B-PH-K-S(LF)(SN)","J12, J13","JST_B2B-PH-K-S(LF)(SN)","CONN JST PH 2 Pin TH","2","Digi-Key","455-1704-ND"
"LSHM-150-02.5-L-DV-A-S-K-TR","JM1, JM2","SAM_LSHM-150-XX.X-XX-DV-A-S","CONN LSHM-150-02.5-L-DV-A-S-K-TR","2","Digi-Key","SAM14147DKR-ND"
"LSHM-130-02.5-L-DV-A-S-K-TR","JM3","SAM_LSHM-130-XX.X-XX-DV-A-S","CONN LSHM-130-02.5-L-DV-A-S-K-TR","1","Digi-Key","SAM14106DKR-ND"
"FTR-B3SA4.5Z","K1A, K1B, K1C, K1D, K2A, K2B, K2C, K2D","FUJ_FTR-B3SA","RELAY DPDT-NO FTR-B3SA4.5Z","8","Mouser","817-FTRB3SA4.5Z-B10"
"1uH","L1, L2","GEN_L_1210","IND 1uH 3.1A 45 MOHM 1210","2","Digi-Key","490-10590-1-ND"
