Altium Designer Pick and Place Locations
C:\Users\EEVengers-Demo\Documents\Altium\Thunderscope_Rev4.1\Project Outputs for Thunderscope_Rev4.1\Pick Place\Pick Place for Thunderscope_Rev4.1(PCIe).txt

========================================================================================================================
File Design Information:

Date:       30-11-23
Time:       23:23
Revision:   Not in VersionControl
Variant:    PCIe
Units used: mil

Designator Comment                     Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                     
C134       100nF                       BottomLayer GEN_C_0402                     2838.583      3025.591      0        ""                                                              
FB10D      120@100MHZ                  BottomLayer GEN_R_0402                     1198.819      3722.441      0        ""                                                              
FB10C      120@100MHZ                  BottomLayer GEN_R_0402                     1198.819      2915.354      0        ""                                                              
FB10B      120@100MHZ                  BottomLayer GEN_R_0402                     1198.819      2108.268      0        ""                                                              
FB10A      120@100MHZ                  BottomLayer GEN_R_0402                     1198.819      1301.181      0        ""                                                              
C133D      2.2uF                       BottomLayer GEN_C_0402                     1125.000      3722.441      180      ""                                                              
C133C      2.2uF                       BottomLayer GEN_C_0402                     1125.000      2915.354      180      ""                                                              
C133B      2.2uF                       BottomLayer GEN_C_0402                     1125.000      2108.268      180      ""                                                              
C133A      2.2uF                       BottomLayer GEN_C_0402                     1125.000      1301.181      180      ""                                                              
FB9D       120@100MHZ                  BottomLayer GEN_R_0402                     1620.079      3318.898      180      ""                                                              
FB9C       120@100MHZ                  BottomLayer GEN_R_0402                     1620.079      2511.811      180      ""                                                              
FB9B       120@100MHZ                  BottomLayer GEN_R_0402                     1620.079      1704.724      180      ""                                                              
FB9A       120@100MHZ                  BottomLayer GEN_R_0402                     1620.079      897.638       180      ""                                                              
C111D      2.2uF                       BottomLayer GEN_C_0402                     1693.898      3318.898      180      ""                                                              
C111C      2.2uF                       BottomLayer GEN_C_0402                     1693.898      2511.811      180      ""                                                              
C111B      2.2uF                       BottomLayer GEN_C_0402                     1693.898      1704.724      180      ""                                                              
C111A      2.2uF                       BottomLayer GEN_C_0402                     1693.898      897.638       180      ""                                                              
C132D      1uF                         TopLayer    GEN_C_0402                     1919.291      3762.795      180      ""                                                              
C132C      1uF                         TopLayer    GEN_C_0402                     1919.291      2955.709      180      ""                                                              
C132B      1uF                         TopLayer    GEN_C_0402                     1919.291      2148.622      180      ""                                                              
C132A      1uF                         TopLayer    GEN_C_0402                     1919.291      1341.535      180      ""                                                              
FB8D       120@100MHZ                  TopLayer    GEN_R_0402                     1845.472      3761.811      0        ""                                                              
FB8C       120@100MHZ                  TopLayer    GEN_R_0402                     1845.472      2954.724      0        ""                                                              
FB8B       120@100MHZ                  TopLayer    GEN_R_0402                     1845.472      2147.638      0        ""                                                              
FB8A       120@100MHZ                  TopLayer    GEN_R_0402                     1845.472      1340.551      0        ""                                                              
FB7D       120@100MHZ                  BottomLayer GEN_R_0402                     1694.882      3534.449      90       ""                                                              
FB7C       120@100MHZ                  BottomLayer GEN_R_0402                     1694.882      2727.362      90       ""                                                              
FB7B       120@100MHZ                  BottomLayer GEN_R_0402                     1694.882      1920.275      90       ""                                                              
FB7A       120@100MHZ                  BottomLayer GEN_R_0402                     1694.882      1113.189      90       ""                                                              
