Designator,Mid X,Mid Y,Rotation,Layer
C201,35.28,72.81,0.0,top
C202,35.29,67.2,0.0,top
C203,35.28,55.97,0.0,top
C204,35.28,50.33,0.0,top
C205,99.41,38.58,180.0,top
C206,35.34,78.65,0.0,top
C207,56.94,38.58,180.0,top
C208,35.31,61.59,0.0,top
C209,23.91,65.49,180.0,top
C210,74.03,81.71,180.0,top
C211,75.93,71.12,0.0,top
C212,75.91,61.5,0.0,top
C213,75.94,51.86,0.0,top
C214,89.19,70.57,270.0,top
C215,89.18,61.06,270.0,top
C216,107.11,67.22,180.0,top
C217,57.56,95.07,180.0,top
C218,99.38,95.1,180.0,top
C219,30.875,132.2,270.0,top
C220,36.2,132.175,270.0,top
C221,97.88,67.22,180.0,top
J1,4.985,61.725,180.0,top
J2,137.515,61.775,0.0,top
J3,71.255,4.985,270.0,top
J4,71.225,118.515,90.0,top
J5,109.2,130.95,0.0,top
J6,124.75,130.95,0.0,top
R101,115.9,26.9,90.0,top
R102,106.25,26.9,90.0,top
R103,96.55,26.9,90.0,top
R104,91.7,26.9,90.0,top
R105,86.9,26.9,90.0,top
R106,82.1,26.9,90.0,top
R107,72.4,26.9,90.0,top
R108,62.7,26.9,90.0,top
R109,57.9,26.9,90.0,top
R110,48.25,26.9,90.0,top
R111,33.7,26.9,90.0,top
R112,28.9,26.9,90.0,top
R113,19.3,26.9,90.0,top
R114,25.75,100.7,270.0,top
R115,30.315789,100.7,270.0,top
R116,35.1,100.7,270.0,top
R117,39.9,100.7,270.0,top
R118,44.9,100.7,270.0,top
R119,54.7,100.7,270.0,top
R120,59.5,100.7,270.0,top
R121,69.3,100.7,270.0,top
R122,74.1,100.7,270.0,top
R123,79.1,100.7,270.0,top
R124,88.9,100.7,270.0,top
R125,93.7,100.7,270.0,top
R126,103.5,100.7,270.0,top
R127,113.3,100.7,270.0,top
R128,118.1,100.7,270.0,top
R129,120.7,26.9,90.0,top
R130,111.1,26.9,90.0,top
R131,101.4,26.9,90.0,top
R134,77.25,26.9,90.0,top
R135,67.55,26.9,90.0,top
R136,123.3,100.7,270.0,top
R137,53.05,26.9,90.0,top
R138,43.4,26.9,90.0,top
R139,38.55,26.9,90.0,top
R141,24.1,26.9,90.0,top
R146,49.7,100.7,270.0,top
R149,64.3,100.7,270.0,top
R151,83.9,100.7,270.0,top
R153,98.7,100.7,270.0,top
R154,108.3,100.7,270.0,top
U1,20.964939,62.225,270.0,top
U10,54.76,90.0,270.0,top
U101,117.181746,21.9,180.0,top
U102,107.511905,21.9,180.0,top
U105,97.842064,21.9,180.0,top
U106,93.007143,21.9,180.0,top
U107,88.172223,21.9,180.0,top
U108,83.337302,21.9,180.0,top
U109,73.667461,21.9,180.0,top
U11,96.58,90.0,270.0,top
U110,63.99762,21.9,180.0,top
U111,59.162699,21.9,180.0,top
U112,49.492858,21.9,180.0,top
U113,34.988096,21.9,180.0,top
U114,30.153175,21.9,180.0,top
U115,20.483334,21.9,180.0,top
U116,24.48,105.6,0.0,top
U117,29.13,105.6,0.0,top
U118,33.798421,105.6,0.0,top
U119,38.682632,105.6,0.0,top
U12,71.225,76.593333,270.0,top
U120,43.566842,105.6,0.0,top
U121,53.335263,105.6,0.0,top
U122,58.219474,105.6,0.0,top
U123,67.987895,105.6,0.0,top
U124,72.872105,105.6,0.0,top
U125,77.756316,105.6,0.0,top
U126,87.524737,105.6,0.0,top
U127,92.408947,105.6,0.0,top
U128,102.177368,105.6,0.0,top
U129,111.945789,105.6,0.0,top
U13,71.225,66.96,270.0,top
U130,116.83,105.6,0.0,top
U133,122.016667,21.9,180.0,top
U134,112.346826,21.9,180.0,top
U139,102.676985,21.9,180.0,top
U14,71.225,57.326666,270.0,top
U142,78.502381,21.9,180.0,top
U143,68.83254,21.9,180.0,top
U144,121.9,105.55,0.0,top
U145,54.327778,21.9,180.0,top
U146,44.657937,21.9,180.0,top
U147,39.823016,21.9,180.0,top
U149,25.318255,21.9,180.0,top
U15,71.225,47.693333,270.0,top
U154,48.451053,105.6,0.0,top
U157,63.103684,105.6,0.0,top
U159,82.640526,105.6,0.0,top
U16,84.975,66.893333,270.0,top
U161,97.293158,105.6,0.0,top
U162,107.061579,105.6,0.0,top
U17,84.975,57.393333,270.0,top
U18,95.1,62.143333,270.0,top
U19,104.3,62.143333,270.0,top
U2,30.464939,76.3,270.0,top
U21,11.63559,114.68169,0.0,top
U22,33.575,131.4,180.0,top
U3,30.464939,70.67,270.0,top
U4,30.464939,65.04,270.0,top
U5,30.464939,59.41,270.0,top
U6,30.464939,53.78,270.0,top
U7,30.464939,48.15,270.0,top
U8,96.62,33.5,270.0,top
U9,54.54,33.5,270.0,top
