Designator,Mid X,Mid Y,Rotation,Layer
D1,29.25,33.9,90.0,bottom
D10,80.525,61.624999,270.0,bottom
D100,107.8,42.15,180.0,bottom
D101,70.675,46.725,180.0,bottom
D11,71.875,72.075001,90.0,bottom
D12,96.700001,57.45,180.0,bottom
D13,29.25,74.9,90.0,bottom
D14,46.475,73.45,90.0,bottom
D15,53.875,77.0,90.0,bottom
D16,89.025,58.275001,90.0,bottom
D17,79.975,54.825001,90.0,bottom
D18,98.95,58.75,0.0,bottom
D19,29.25,95.4,90.0,bottom
D2,46.475,32.45,90.0,bottom
D20,46.475,93.95,90.0,bottom
D21,53.9,97.475,90.0,bottom
D22,88.7,61.674999,270.0,bottom
D23,75.85001,56.275001,90.0,bottom
D24,102.399999,58.075,0.0,bottom
D25,57.775,99.9,0.0,bottom
D26,76.890001,59.16,180.0,bottom
D27,58.825,96.125,90.0,bottom
D28,81.16,59.010001,90.0,bottom
D29,121.3,51.5,90.0,bottom
D3,53.9,35.975,90.0,bottom
D30,75.8,75.059998,270.0,bottom
D31,121.3,54.475,90.0,bottom
D32,76.600001,69.7,180.0,bottom
D33,38.275,31.475,90.0,bottom
D34,18.475,96.75,0.0,bottom
D35,53.95,27.25,90.0,bottom
D36,94.3,42.96917,90.0,bottom
D37,121.3,57.45,90.0,bottom
D38,79.5,72.400001,90.0,bottom
D39,38.275,51.975,90.0,bottom
D4,92.1,61.525,0.0,bottom
D40,12.8,57.85,90.0,bottom
D41,76.875,106.8,0.0,bottom
D42,106.85,49.925001,90.0,bottom
D43,121.3,60.65,90.0,bottom
D44,101.5,77.950001,90.0,bottom
D45,38.275,72.5,90.0,bottom
D46,12.8,59.85,90.0,bottom
D47,73.125,105.05,90.0,bottom
D48,106.85,47.975011,90.0,bottom
D49,108.05,74.525001,90.0,bottom
D5,72.325,69.850001,90.0,bottom
D50,38.275,92.975,90.0,bottom
D51,13.8,55.85,90.0,bottom
D52,81.125,97.7,90.0,bottom
D53,119.2,41.525001,90.0,bottom
D54,103.0,72.85,90.0,bottom
D55,81.1,104.35,90.0,bottom
D56,110.5,46.400001,90.0,bottom
D57,107.55,98.475,0.0,bottom
D58,103.575,54.700001,90.0,bottom
D59,99.3,102.475,90.0,bottom
D6,94.700001,57.45,180.0,bottom
D60,126.525,34.05,0.0,bottom
D61,76.4,62.675,0.0,bottom
D62,79.7,65.925,0.0,bottom
D63,80.03,69.725,0.0,bottom
D64,94.353,104.903,180.0,bottom
D65,54.75,94.025,180.0,bottom
D66,57.225,38.475,0.0,bottom
D67,126.525,30.85,0.0,bottom
D68,71.125,63.25,180.0,bottom
D69,78.175,64.25,0.0,bottom
D7,29.25,54.4,90.0,bottom
D70,79.7,49.015001,0.0,bottom
D71,99.63298,104.903,0.0,bottom
D72,58.35,91.425,90.0,bottom
D73,57.225,58.975,0.0,bottom
D74,80.399999,76.05,180.0,bottom
D75,57.225,79.475,0.0,bottom
D76,85.725,76.65,0.0,bottom
D77,54.025,99.975,180.0,bottom
D78,109.45,57.35,0.0,bottom
D79,82.85,42.85,0.0,bottom
D8,46.475,52.975,90.0,bottom
D80,76.825,77.375,0.0,bottom
D81,97.23001,99.15999,0.0,bottom
D82,113.207,91.232,0.0,bottom
D83,104.425,58.75,180.0,bottom
D84,77.65,42.85,180.0,bottom
D85,71.775,76.0,180.0,bottom
D86,97.23001,96.90999,0.0,bottom
D87,113.207,94.7,0.0,bottom
D88,62.825,94.025,0.0,bottom
D89,102.925,96.61,180.0,bottom
D9,53.9,56.475,90.0,bottom
D90,102.375,102.88,180.0,bottom
D91,119.043,102.107,0.0,bottom
D92,86.589977,100.689979,0.0,bottom
D93,59.85,23.2,0.0,bottom
D94,104.87499,41.85001,0.0,bottom
D95,70.675,49.225,180.0,bottom
D96,107.475,103.525,0.0,bottom
D97,119.043,98.8,0.0,bottom
D98,90.225523,104.908002,180.0,bottom
D99,63.85,23.2,180.0,bottom
J1,5.0,61.75,180.0,bottom
J2,137.5,61.75,0.0,bottom
J3,71.230001,5.0,90.0,bottom
J4,71.25,118.5,270.0,bottom
R1,27.7,95.75,0.0,bottom
R10,44.925,73.8,0.0,bottom
R11,44.925,53.325,0.0,bottom
R12,44.925,32.8,0.0,bottom
R13,12.225,56.2,0.0,bottom
R14,11.225,60.2,0.0,bottom
R15,11.225,58.2,0.0,bottom
R16,18.125,95.2,270.0,bottom
R17,59.925,96.975,90.0,bottom
R18,57.4,101.45,90.0,bottom
R19,52.325,97.825,0.0,bottom
R2,27.7,75.25,0.0,bottom
R20,52.325,77.35,0.0,bottom
R21,52.35,56.825,0.0,bottom
R22,52.35,36.325,0.0,bottom
R23,97.75,102.825,0.0,bottom
R24,106.675,99.575,0.0,bottom
R25,79.55,104.7,0.0,bottom
R26,79.575,98.05,0.0,bottom
R27,71.575,105.4,0.0,bottom
R28,76.025,107.9,0.0,bottom
R29,52.4,27.6,0.0,bottom
R3,27.7,54.75,0.0,bottom
R31,122.875,61.0,180.0,bottom
R32,122.875,57.8,180.0,bottom
R33,122.875,54.825,180.0,bottom
R34,122.875,51.85,180.0,bottom
R35,101.55,56.95,0.0,bottom
R36,98.6,57.190001,270.0,bottom
R37,97.05,55.890001,270.0,bottom
R38,95.05,55.890001,270.0,bottom
R39,82.709999,59.36,180.0,bottom
R4,27.7,34.25,0.0,bottom
R40,77.749999,58.05,180.0,bottom
R41,87.140001,61.325,0.0,bottom
R42,87.440001,58.625,0.0,bottom
R43,82.109999,61.275,180.0,bottom
R44,91.75,63.109999,90.0,bottom
R45,105.109999,55.05,180.0,bottom
R46,112.059999,46.75,180.0,bottom
R47,120.75,41.875,180.0,bottom
R48,108.409999,48.32501,180.0,bottom
R49,108.409999,50.275,180.0,bottom
R5,36.725,93.325,0.0,bottom
R50,95.859999,43.319169,180.0,bottom
R51,104.559999,73.2,180.0,bottom
R52,109.609999,74.875,180.0,bottom
R53,103.059999,78.3,180.0,bottom
R54,81.059999,72.75,180.0,bottom
R55,76.95,68.140001,270.0,bottom
R56,77.359999,74.709999,180.0,bottom
R57,77.409999,56.625,180.0,bottom
R58,81.559999,55.175,180.0,bottom
R59,70.34,72.425,0.0,bottom
R6,36.725,72.85,0.0,bottom
R60,70.79,70.2,0.0,bottom
R7,36.725,52.325,0.0,bottom
R8,36.7,31.82499,0.0,bottom
R9,44.925,94.3,0.0,bottom
TP1,73.275,72.425,180.0,top
TP10,74.75,73.8,0.0,top
TP1014_1,30.65,95.75,90.0,top
TP1014_2,30.65,75.25,90.0,top
TP1014_3,30.65,54.75,90.0,top
TP1014_4,30.65,34.25,90.0,top
TP1015_1,39.67502,93.32499,90.0,top
TP1015_2,39.67502,72.82499,90.0,top
TP1015_3,39.67502,52.32499,90.0,top
TP1015_4,39.67502,31.82499,90.0,top
TP1016_1,55.3,97.84,90.0,top
TP1016_2,55.3,77.34,90.0,top
TP1016_3,55.3,56.84,90.0,top
TP1016_4,55.3,36.34,90.0,top
TP1017_1,55.625,99.975,90.0,top
TP1017_2,55.625,79.475,90.0,top
TP1017_3,55.625,58.975,90.0,top
TP1017_4,55.625,38.475,90.0,top
TP1018_1,47.868,94.307,0.0,top
TP1018_2,47.868,73.807,0.0,top
TP1018_3,47.868,53.307,0.0,top
TP1018_4,47.868,32.807,0.0,top
TP11,78.1,72.75,90.0,top
TP12,76.95,71.1,90.0,top
TP13,92.9,43.319169,270.0,top
TP14,65.45,23.2,90.0,top
TP15,58.25,23.2,270.0,top
TP16,106.65,74.875,90.0,top
TP17,103.0,74.35001,270.0,top
TP18,100.1,78.3,0.0,top
TP19,124.925,30.85,180.0,top
TP2,67.5,66.25,90.0,top
TP20,124.925,34.05,180.0,top
TP21,111.607,94.7,180.0,top
TP22,111.607,91.232,180.0,top
TP23,107.2,97.08,180.0,top
TP24,73.725,70.2,180.0,top
TP25,57.425,96.475,180.0,top
TP26,75.225,77.375,180.0,top
TP27,81.999999,76.05,180.0,top
TP28,95.953,104.903,0.0,top
TP29,95.63001,99.15999,0.0,top
TP3,67.5,45.75,90.0,top
TP30,73.375,76.0,180.0,top
TP31,95.63001,96.90999,0.0,top
TP32,78.1,65.925,180.0,top
TP33,78.43,69.725,180.0,top
TP34,103.975,102.88,90.0,top
TP35,104.525,96.61,180.0,top
TP36,76.575,64.25,180.0,top
TP37,105.875,103.525,180.0,top
TP38,56.35,94.025,0.0,top
TP39,61.225,94.025,0.0,top
TP4,100.7,102.835,0.0,top
TP40,58.35,93.025,0.0,top
TP41,98.03298,104.903,180.0,top
TP42,57.425,98.475,180.0,top
TP43,79.76,59.36,270.0,top
TP44,105.45,50.275,180.0,top
TP45,67.5,102.5,90.0,top
TP46,90.1,61.325,180.0,top
TP47,77.24,60.56,180.0,top
TP48,90.425,58.625,180.0,top
TP49,81.25,42.85,180.0,top
TP5,84.125,76.65,270.0,top
TP50,78.1,49.015001,180.0,top
TP51,79.25,42.85,180.0,top
TP52,79.125,61.275,180.0,top
TP53,91.75,60.125,180.0,top
TP54,117.8,41.875,180.0,top
TP55,109.1,46.75,180.0,top
TP56,15.2,56.2,180.0,top
TP57,14.2,60.2,180.0,top
TP58,14.20002,58.2,180.0,top
TP59,82.5,104.7,180.0,top
TP6,76.525,105.4,90.0,top
TP60,82.525,98.05,180.0,top
TP61,18.125,98.15,180.0,top
TP62,102.175,55.05,180.0,top
TP63,72.275,49.225,180.0,top
TP64,72.275,46.725,180.0,top
TP65,103.27499,41.85001,180.0,top
TP66,109.4,42.15,180.0,top
TP67,74.8,62.675,180.0,top
TP68,72.725,63.25,180.0,top
TP69,107.85,57.35,180.0,top
TP7,74.525,105.4,270.0,top
TP70,106.025,58.75,180.0,top
TP71,117.443,98.8,180.0,top
TP72,117.443,102.107,180.0,top
TP73,105.323905,92.9286,180.0,top
TP74,122.223905,45.4786,180.0,top
TP75,119.9,54.825,180.0,top
