### Footprint positions - created on 2026-01-22T12:56:30-0500 ###
### Printed by KiCad version 9.0.3
## Unit = mm, Angle = deg.
## Side : All
# Ref       Val                       Package                                          PosX       PosY       Rot  Side
C1          1uF                       GEN_C_0402                                     6.0500    91.6000   90.0000  bottom
C12         22uF                      GEN_C_0805                                    51.8500    15.7750  180.0000  bottom
C13         100nF                     GEN_C_0402                                    48.0000    19.2500   90.0000  bottom
C15         10uF                      GEN_C_0603                                    72.5250    63.7250  180.0000  bottom
C20         10uF                      GEN_C_0603                                    78.7250    60.7000    0.0000  bottom
C21         10uF                      GEN_C_0603                                    72.5250    61.2000  180.0000  bottom
C22         22uF                      GEN_C_0805                                    55.9250    20.4250  -90.0000  bottom
C23         10uF                      GEN_C_0603                                    78.7250    62.2000    0.0000  bottom
C25         1uF                       GEN_C_0402                                    79.7750    63.4500  180.0000  bottom
C26         10uF                      GEN_C_0603                                    79.2250    64.7000    0.0000  bottom
C27         100nF                     GEN_C_0402                                    73.5750    64.9750  180.0000  bottom
C28         220nF                     GEN_C_0402                                    79.9750    28.5250   90.0000  bottom
C29         220nF                     GEN_C_0402                                    78.9750    28.5250   90.0000  bottom
C32         220nF                     GEN_C_0402                                    77.9750    28.5250   90.0000  bottom
C33         220nF                     GEN_C_0402                                    76.9750    28.5250   90.0000  bottom
C36         220nF                     GEN_C_0402                                    75.9750    28.5250   90.0000  bottom
C37         220nF                     GEN_C_0402                                    74.9750    28.5250   90.0000  bottom
C40         220nF                     GEN_C_0402                                    73.9750    28.5250   90.0000  bottom
C41         220nF                     GEN_C_0402                                    72.9750    28.5250   90.0000  bottom
C44         100nF                     GEN_C_0402                                    71.9750    28.5250   90.0000  bottom
C45         100nF                     GEN_C_0402                                    70.9750    28.5250   90.0000  bottom
C48         1uF                       GEN_C_0402                                    90.9500    59.0750   90.0000  bottom
C49         1uF                       GEN_C_0402                                    92.6250    60.5250  180.0000  bottom
C50         1uF                       GEN_C_0402                                    90.5500    66.1500  -90.0000  bottom
C52         1uF                       GEN_C_0402                                    85.6250    65.6900    0.0000  bottom
C53         1uF                       GEN_C_0402                                    88.8500    59.0750   90.0000  bottom
C54         1uF                       GEN_C_0402                                    86.1250    59.0750   90.0000  bottom
C55         1uF                       GEN_C_0402                                    87.3500    59.0750   90.0000  bottom
C56         1uF                       GEN_C_0402                                    89.9500    59.0750   90.0000  bottom
C57         1uF                       GEN_C_0402                                    92.3750    59.0750   90.0000  bottom
C58         1uF                       GEN_C_0402                                    91.5500    66.1500  -90.0000  bottom
C59         1uF                       GEN_C_0402                                    89.5500    66.1500  -90.0000  bottom
C60         1uF                       GEN_C_0402                                    87.3500    66.1500  -90.0000  bottom
C61         1uF                       GEN_C_0402                                    85.6250    62.9500    0.0000  bottom
C63         1uF                       GEN_C_0402                                    85.6250    61.9500    0.0000  bottom
C69_1       10uF                      GEN_C_0603                                    82.2602    73.9700  -90.0000  bottom
C69_2       10uF                      GEN_C_0603                                    76.7101    73.9700  -90.0000  bottom
C69_3       10uF                      GEN_C_0603                                    71.1601    73.9700  -90.0000  bottom
C69_4       10uF                      GEN_C_0603                                    65.6100    73.9700  -90.0000  bottom
C77         100nF                     GEN_C_0402                                    65.3750    56.6750  180.0000  bottom
C78         1uF                       GEN_C_0402                                   106.3250    34.8000  -90.0000  bottom
C79         10uF                      GEN_C_0603                                   107.5750    34.2500   90.0000  bottom
C80         22uF                      GEN_C_0805                                    51.8500    13.8750  180.0000  bottom
C81         100nF                     GEN_C_0402                                    51.0000    17.2250  180.0000  bottom
C83         22uF                      GEN_C_0805                                    57.8250    20.4250  -90.0000  bottom
C84         22uF                      GEN_C_0805                                    59.7250    20.4250  -90.0000  bottom
C86         47uF                      GEN_C_0805                                    95.6000    33.1000  -90.0000  bottom
C87         47uF                      GEN_C_0805                                    89.1500    34.6375   90.0000  bottom
C88         1uF                       GEN_C_0402                                    85.6250    64.3500    0.0000  bottom
C89         1uF                       GEN_C_0402                                    92.5500    66.1500  -90.0000  bottom
C90         1uF                       GEN_C_0402                                    88.5500    66.1500  -90.0000  bottom
C92         1uF                       GEN_C_0402                                    84.3500    59.1000  180.0000  bottom
C95         10uF                      GEN_C_0603                                    70.3600    86.0200  180.0000  bottom
C96         10uF                      GEN_C_0603                                    65.8450    86.0200    0.0000  bottom
C98         22uF                      GEN_C_0805                                    88.6300    85.8400  180.0000  bottom
C129        100nF                     GEN_C_0402                                    70.3000    52.7200    0.0000  bottom
C138        1uF                       GEN_C_0402                                    85.1750    46.3000  180.0000  bottom
C139        1uF                       GEN_C_0402                                    87.5600    46.9000  180.0000  bottom
C140        1uF                       GEN_C_0402                                    88.4300    42.2250    0.0000  bottom
C141        1uF                       GEN_C_0402                                    90.2500    44.6250  180.0000  bottom
