"Line Item","Reference","Value","Qty","MANUFACTURER","MANUFACTURER PART NUMBER"
"1","U7","ZL30260LDG1","1","Microchip","ZL30260LDG1"
"2","K1000_1,K1000_2,K1000_3,K1000_4,K1001_1,K1001_2,K1001_3,K1001_4","UD2-4.5NUN-L","8","KEMET","UD2-4.5NUN-L"
"3","U14,U15,U22","TPS7A9101","3","Texas Instruments","TPS7A9101DSKR"
"4","U9,U16","TPS7A2033","2","Texas Instruments","TPS7A2033PDBVR"
"5","U8,U20,U21,U23","TPS62A02","4","Texas Instruments","TPS62A02DRLR"
"6","U17","TPS61023","1","Texas Instruments","TPS61023DRLT"
"7","D2,D3","TPD1E1B04","2","Texas Instruments","TPD1E1B04DPYR"
"8","U1001_1,U1001_2,U1001_3,U1001_4","TMUX4053","4","Texas Instruments","TMUX4053DYYR"
"9","U1","SN74LVC1G17","1","Texas Instruments","SN74LVC1G17DCKR"
"10","D1","RGB","1","Kingbright","APFA3010LSEKJ3ZGKQBC"
"11","U4","REF2025","1","Texas Instruments","REF2025AIDDCR"
"12","U5,U1011_1,U1011_2,U1011_3,U1011_4","OPA140AIDBVR","5","Texas Instruments","OPA140AIDBVR"
"13","U19","MX25L6433FZNI-08G","1","Macronix","MX25L6433FZNI-08G-TR"
"14","U2","MCP4452-104E","1","Microchip","MCP4452-104E"
"15","U3","MCP4728","1","Microchip","MCP4728T-E/UN"
"16","J8","M.2 Key M","1","TE Connectivity","1-2199230-5"
"17","U1008_1,U1008_2,U1008_3,U1008_4","LMH6518","4","Texas Instruments","LMH6518SQX/NOPB"
"18","U13","LM27761","1","Texas Instruments","LM27761DSGR"
"19","U18","IC FPGA XC7A50T-2CSG325C","1","Xilinx","XC7A50T-2CSG325C"
"20","U6","HMCAD1520","1","Analog Devices","HMCAD1520"
"21","U10","FIN1019MTCX","1","onsemi","FIN1019MTCX"
"22","J9","F300-1B7H1-11036-E100","1","Amphenol ICC","F300-1B7H1-11036-E100"
"23","Q1,Q2,Q1002_1,Q1002_2,Q1002_3,Q1002_4,Q1003_1,Q1003_2,Q1003_3,Q1003_4","DMN62D0UW","10","Diodes","DMN62D0UW-7"
"24","U1009_1,U1009_2,U1009_3,U1009_4","BUF802","4","Texas Instruments","BUF802IRGTR"
"25","J1,J2,J1002_1,J1002_2,J1002_3,J1002_4","BNC","6","Molex","73100-0105"
"26","U12_1,U12_2,U12_3,U12_4","ADA4930-1YCPZ","4","Analog Devices","ADA4930-1YCPZ-R7"
"27","EMI1,EMI2","2286211-3","2","TE Connectivity","2286211-3"
"28","SHLD1001_1,SHLD1001_2,SHLD1001_3,SHLD1001_4","2118728-2","4","TE Connectivity","2118728-2"
"29","SO1,SO2,SO3","2.5mm M2 SMT Standoff","3","Wurth Elektronik","9774025243R"
"30","J5","2.54mm 6 Pin TH","1","Wurth Electronics","61300611021"
"31","C1059_1,C1059_2,C1059_3,C1059_4","2-6pF","4","EW Electronics","SGC3S060"
"32","D1000_1,D1000_2,D1000_3,D1000_4,D1001_1,D1001_2,D1001_3,D1001_4","1N4148WT-7","8","Diodes","1N4148WT-7"
"33","FB1,FB2,FB3,FB11,FB12,FB13,FB1000_1,FB1000_2,FB1000_3,FB1000_4,FB1001_1,FB1001_2,FB1001_3,FB1001_4,R91","120@100MHZ","15","Murata","BLM15PX121SN1D"
"34","J10,J12,J13","009155002852006","3","KYOCERA AVX","009155002852006"
"35","Y2","25MHz","1","ECS International","ECS-TXO-2016-33-250-TR"
"36","R1003_1,R1003_2,R1003_3,R1003_4,R1038_1,R1038_2,R1038_3,R1038_4","10M","8","KOA Speer","RK73H1JTTD1005F"
"37","Y1","10MHz","1","ECS International","ECS-TXO-3225MV-100-TR"
"38","R1002_1,R1002_2,R1002_3,R1002_4,R1024_1,R1024_2,R1024_3,R1024_4","976k","8","KOA Speer","RK73H1ETTP9763F"
"39","R1039_1,R1039_2,R1039_3,R1039_4","909k","4","Yageo","RC0402FR-07909KL"
"40","R93,R109","280K","2","Yageo","AC0402FR-07280KL"
"41","R55,R96,R1041_1,R1041_2,R1041_3,R1041_4,R1042_1,R1042_2,R1042_3,R1042_4,R1047_1,R1047_2,R1047_3,R1047_4","90.9k","14","Yageo","RC0402FR-0790K9L"
"42","R110,R1036_1,R1036_2,R1036_3,R1036_4","35.7k","5","Yageo","RC0402FR-0735K7L"
"43","R56,R100,R103,R105,R122,R1026_1,R1026_2,R1026_3,R1026_4","20k","9","Yageo","RC0402FR-0720KL"
"44","R13","10K","1","Vishay Beyschlag","ACASN1002S1002P1ATF1002X"
"45","R1,R8,R15,R16,R17,R45,R58,R59,R61,R62,R66,R67,R68,R72,R76,R77,R80,R82,R86,R94,R101,R111,R117,R118,R121,R124,R128,R129,R130,R1029_1,R1029_2,R1029_3,R1029_4,R1030_1,R1030_2,R1030_3,R1030_4,R1031_1,R1031_2,R1031_3,R1031_4,R1032_1,R1032_2,R1032_3,R1032_4,R1033_1,R1033_2,R1033_3,R1033_4,R1044_1,R1044_2,R1044_3,R1044_4,R1052_1,R1052_2,R1052_3,R1052_4","10K","57","Panasonic","ERJ-2RKF1002X"
"46","J11","7793","1","Keystone Electronics","7793"
"47","R9,R10,R11,R12,R46,R47,R69,R70,R99,R102,R104,R113,R114,R119","4.7K","14","Panasonic","ERJ-2RKF4701X"
"48","R6,R64,R127,R1043_1,R1043_2,R1043_3,R1043_4","2K","7","Yageo","RC0402FR-072KL"
"49","R44,R48,R49,R50,R51,R52,R53,R65,R85,R125,R1001_1,R1001_2,R1001_3,R1001_4,R1045_1,R1045_2,R1045_3,R1045_4,R1046_1,R1046_2,R1046_3,R1046_4","1K","22","Yageo","RC0402FR-071KL"
"50","R132_1,R132_2,R132_3,R132_4,R133_1,R133_2,R133_3,R133_4,R134_1,R134_2,R134_3,R134_4,R135_1,R135_2,R135_3,R135_4","300","16","Panasonic","ERA-2AEB301X"
"51","R131_1,R131_2,R131_3,R131_4","120","4","Yageo","RC0402FR-07120RL"
"52","R22,R60,R84,R107,R112,R115","100","6","Yageo","RC0402FR-07100RL"
"53","R1025_1,R1025_2,R1025_3,R1025_4","49.9","4","KOA Speer","WK73R2ATTD49R9F"
"54","R24,R43,R63,R1037_1,R1037_2,R1037_3,R1037_4","49.9","7","Yageo","RC0402FR-0749R9L"
"55","R1022_1,R1022_2,R1022_3,R1022_4,R1035_1,R1035_2,R1035_3,R1035_4","30","8","KOA Speer","SG73P1JTTD30R0F"
"56","R1027_1,R1027_2,R1027_3,R1027_4,R1028_1,R1028_2,R1028_3,R1028_4","22","8","KOA Speer","SG73P1JTTD22R0F"
"57","R1021_1,R1021_2,R1021_3,R1021_4","15","4","KOA Speer","SG73P1JTTD15R0F"
"58","R136_1,R136_2,R136_3,R136_4,R137_1,R137_2,R137_3,R137_4","10","8","Yageo","RC0402FR-0710RL"
"59","R1049_1,R1049_2,R1049_3,R1049_4","2K TRIMPOT","4","Bourns","TC33X-2-202E"
"60","R90,R106","0.1","2","Panasonic","ERJ-2BSFR10X"
"61","R14,R54,R57,R89,R97,R98,R116,R120,R123,R126","0.01","10","Susumu","RL0816T-R010-F"
"62","C86,C87,C144,C145,C152,C153,C160,C161","47uF","8","Samsung","CL21A476MQYNNNE"
"63","C22,C75,C83,C84,C97,C98,C99,C101,C128,C176,C177,C180,C188,C1026_1,C1026_2,C1026_3,C1026_4,C1027_1,C1027_2,C1027_3,C1027_4,C1028_1,C1028_2,C1028_3,C1028_4,C1029_1,C1029_2,C1029_3,C1029_4","22uF","29","Murata","GRM21BR61E226ME44L"
"64","C9,C10,C14,C15,C20,C21,C23,C26,C69_1,C69_2,C69_3,C69_4,C71,C72,C73,C79,C85,C93,C94,C95,C96,C106,C107,C108,C109,C110,C111,C114,C115,C116,C117,C118,C119,C120,C121,C122,C142,C143,C146,C147,C158,C159,C162,C163,C168,C173,C175,C179,C181,C182,C183,C184,C187,C1003_1,C1003_2,C1003_3,C1003_4,C1004_1,C1004_2,C1004_3,C1004_4,C1005_1,C1005_2,C1005_3,C1005_4,C1006_1,C1006_2,C1006_3,C1006_4,C1007_1,C1007_2,C1007_3,C1007_4,C1008_1,C1008_2,C1008_3,C1008_4,C1039_1,C1039_2,C1039_3,C1039_4,C1040_1,C1040_2,C1040_3,C1040_4","10uF","85","Murata","GRM188R61E106MA73D"
"65","C1,C2,C3,C5,C6,C7,C8,C11,C16,C17,C18,C19,C24,C25,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C68,C70_1,C70_2,C70_3,C70_4,C76,C78,C88,C89,C90,C91,C92,C102,C103,C104_1,C104_2,C104_3,C104_4,C105_1,C105_2,C105_3,C105_4,C112,C125,C126,C127,C130,C138,C139,C140,C141,C148,C149,C150,C151,C154,C155,C156,C157,C164,C165,C166,C167,C191,C1009_1,C1009_2,C1009_3,C1009_4,C1010_1,C1010_2,C1010_3,C1010_4,C1036_1,C1036_2,C1036_3,C1036_4,C1037_1,C1037_2,C1037_3,C1037_4,C1038_1,C1038_2,C1038_3,C1038_4,C1043_1,C1043_2,C1043_3,C1043_4,C1044_1,C1044_2,C1044_3,C1044_4,C1045_1,C1045_2,C1045_3,C1045_4,C1046_1,C1046_2,C1046_3,C1046_4,C1047_1,C1047_2,C1047_3,C1047_4,C1048_1,C1048_2,C1048_3,C1048_4,C1049_1,C1049_2,C1049_3,C1049_4,C1050_1,C1050_2,C1050_3,C1050_4,C1052_1,C1052_2,C1052_3,C1052_4,C1053_1,C1053_2,C1053_3,C1053_4,C1054_1,C1054_2,C1054_3,C1054_4,C1055_1,C1055_2,C1055_3,C1055_4,C1056_1,C1056_2,C1056_3,C1056_4,C1057_1,C1057_2,C1057_3,C1057_4","1uF","150","Murata","GRM155R61E105KA12D"
"66","L1,L2,L3,L4,L5","1uH","5","Bourns","SRP3212-1R0M"
"67","C30,C31,C34,C35,C38,C39,C42,C43","220nF","8","Murata","GCM155R71C224KE02D"
"68","C27,C46,C47,C65,C66,C67,C77,C82,C123,C124,C129,C169,C170,C171,C172,C185,C189,C190,C1032_1,C1032_2,C1032_3,C1032_4,C1033_1,C1033_2,C1033_3,C1033_4,C1041_1,C1041_2,C1041_3,C1041_4,C1042_1,C1042_2,C1042_3,C1042_4","100nF","34","Murata","GCM155R71C104KA55D"
"69","C1031_1,C1031_2,C1031_3,C1031_4","10nF","4","Murata","GRM1885C1H103JA01J"
"70","C1030_1,C1030_2,C1030_3,C1030_4","1nF","4","Murata","GCM1885C2A102FA16D"
"71","C4,C74,C174,C178,C186,C1001_1,C1001_2,C1001_3,C1001_4,C1034_1,C1034_2,C1034_3,C1034_4,C1035_1,C1035_2,C1035_3,C1035_4","100pF","17","Murata","GCM1555C1H101FA16D"
"72","C1002_1,C1002_2,C1002_3,C1002_4","68pF","4","Murata","GCM1555C1H680FA16J"
"73","C100,C1058_1,C1058_2,C1058_3,C1058_4","18pF","5","KEMET","CBR04C180F5GAC"
"74","C1025_1,C1025_2,C1025_3,C1025_4","8pF","4","KEMET","CBR04C809B5GAC"
"75","C1011_1,C1011_2,C1011_3,C1011_4,C1021_1,C1021_2,C1021_3,C1021_4,C1023_1,C1023_2,C1023_3,C1023_4","3pF","12","KEMET","CBR04C309B2GAC"
"76","C1024_1,C1024_2,C1024_3,C1024_4","1pF","4","KEMET","CBR04C109A5GAC"
"77","C1012_1,C1012_2,C1012_3,C1012_4","0.3pF","4","KYOCERA AVX","04021J0R3ZBSTR"
"78","C64,R2,R4,R27,R28,R31,R32,R35,R36,R39,R40,R52_1,R52_2,R52_3,R52_4,R97_1,R97_2,R97_3,R97_4,R1053_1,R1053_2,R1053_3,R1053_4","0","23","Yageo","RC0402JR-070RL"
