#Top: thunderscope   Floorplan: impl_1   Part: xc7a50tcsg325-2
#Generated by: eevengers-dev0   on: Wed Mar 26 13:38:03 2025
#Build: Vivado v2024.2   by: xbuild   on: Fri Nov 08 22:34:34 MST 2024
#Package Version: FINAL 2014-03-07
#Package Pin Delay Version: VERS. 2.0 2014-03-07

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
216,H2,OPAD_X0Y1,MGTPTXP0_216,67.731,68.412,,pcie_7x_mgt_25966,pcie_x4_tx_p[3],OUT,,,,12,,,,,,,,,,,,,
216,F2,OPAD_X0Y3,MGTPTXP1_216,61.657,62.276,,pcie_7x_mgt_25966,pcie_x4_tx_p[2],OUT,,,,12,,,,,,,,,,,,,
216,D2,OPAD_X0Y5,MGTPTXP2_216,57.101,57.675,,pcie_7x_mgt_25966,pcie_x4_tx_p[1],OUT,,,,12,,,,,,,,,,,,,
216,B2,OPAD_X0Y7,MGTPTXP3_216,64.535,65.183,,pcie_7x_mgt_25966,pcie_x4_tx_p[0],OUT,,,,12,,,,,,,,,,,,,
216,H1,OPAD_X0Y0,MGTPTXN0_216,67.597,68.276,,pcie_7x_mgt_25966,pcie_x4_tx_n[3],OUT,,,,12,,,,,,,,,,,,,
216,F1,OPAD_X0Y2,MGTPTXN1_216,61.622,62.241,,pcie_7x_mgt_25966,pcie_x4_tx_n[2],OUT,,,,12,,,,,,,,,,,,,
216,D1,OPAD_X0Y4,MGTPTXN2_216,58.519,59.107,,pcie_7x_mgt_25966,pcie_x4_tx_n[1],OUT,,,,12,,,,,,,,,,,,,
216,B1,OPAD_X0Y6,MGTPTXN3_216,65.871,66.533,,pcie_7x_mgt_25966,pcie_x4_tx_n[0],OUT,,,,12,,,,,,,,,,,,,
216,E4,IPAD_X1Y7,MGTPRXP0_216,56.509,57.076,,pcie_7x_mgt_25966,pcie_x4_rx_p[3],IN,,,,,,,,,,,,,,,,,
216,A4,IPAD_X1Y13,MGTPRXP1_216,66.648,67.318,,pcie_7x_mgt_25966,pcie_x4_rx_p[2],IN,,,,,,,,,,,,,,,,,
216,C4,IPAD_X1Y25,MGTPRXP2_216,62.679,63.308,,pcie_7x_mgt_25966,pcie_x4_rx_p[1],IN,,,,,,,,,,,,,,,,,
216,G4,IPAD_X1Y31,MGTPRXP3_216,73.902,74.645,,pcie_7x_mgt_25966,pcie_x4_rx_p[0],IN,,,,,,,,,,,,,,,,,
216,E3,IPAD_X1Y6,MGTPRXN0_216,58.321,58.907,,pcie_7x_mgt_25966,pcie_x4_rx_n[3],IN,,,,,,,,,,,,,,,,,
216,A3,IPAD_X1Y12,MGTPRXN1_216,68.415,69.102,,pcie_7x_mgt_25966,pcie_x4_rx_n[2],IN,,,,,,,,,,,,,,,,,
216,C3,IPAD_X1Y24,MGTPRXN2_216,64.693,65.343,,pcie_7x_mgt_25966,pcie_x4_rx_n[1],IN,,,,,,,,,,,,,,,,,
216,G3,IPAD_X1Y30,MGTPRXN3_216,75.680,76.441,,pcie_7x_mgt_25966,pcie_x4_rx_n[0],IN,,,,,,,,,,,,,,,,,
34,L2,IOB_X1Y41,IO_L4N_T0_34,56.432,56.999,,RST.sys_rst_n_25966,pcie_x4_rst_n,IN,,,LVCMOS33,,,,,,,,PULLUP,,,,,,
15,E18,IOB_X0Y51,IO_L24N_T3_RS0_15,117.489,118.670,,,adc_data_d_n[7],IN,N,adc_data_d_p[7],LVDS_25,,,,,,,,,,,true,,,
15,H18,IOB_X0Y53,IO_L23N_T3_FWE_B_15,96.244,97.212,,,adc_data_d_n[6],IN,N,adc_data_d_p[6],LVDS_25,,,,,,,,,,,true,,,
15,F15,IOB_X0Y57,IO_L21N_T3_DQS_A18_15,90.795,91.708,,,adc_data_d_n[5],IN,N,adc_data_d_p[5],LVDS_25,,,,,,,,,,,true,,,
15,G16,IOB_X0Y59,IO_L20N_T3_A19_15,94.726,95.678,,,adc_data_d_n[4],IN,N,adc_data_d_p[4],LVDS_25,,,,,,,,,,,true,,,
15,C18,IOB_X0Y63,IO_L18N_T2_A23_15,117.502,118.683,,,adc_data_d_n[3],IN,N,adc_data_d_p[3],LVDS_25,,,,,,,,,,,true,,,
15,B17,IOB_X0Y67,IO_L16N_T2_A27_15,125.534,126.795,,,adc_data_d_n[2],IN,N,adc_data_d_p[2],LVDS_25,,,,,,,,,,,true,,,
15,A17,IOB_X0Y69,IO_L15N_T2_DQS_ADV_B_15,123.839,125.084,,,adc_data_d_n[1],IN,N,adc_data_d_p[1],LVDS_25,,,,,,,,,,,true,,,
15,D16,IOB_X0Y71,IO_L14N_T2_SRCC_15,115.025,116.181,,,adc_data_d_n[0],IN,N,adc_data_d_p[0],LVDS_25,,,,,,,,,,,true,,,
15,F17,IOB_X0Y52,IO_L24P_T3_RS1_15,113.680,114.823,,,adc_data_d_p[7],IN,P,adc_data_d_n[7],LVDS_25,,,,,,,,,,,true,,,
15,H17,IOB_X0Y54,IO_L23P_T3_FOE_B_15,89.808,90.710,,,adc_data_d_p[6],IN,P,adc_data_d_n[6],LVDS_25,,,,,,,,,,,true,,,
15,G15,IOB_X0Y58,IO_L21P_T3_DQS_15,95.207,96.163,,,adc_data_d_p[5],IN,P,adc_data_d_n[5],LVDS_25,,,,,,,,,,,true,,,
15,H16,IOB_X0Y60,IO_L20P_T3_A20_15,94.014,94.959,,,adc_data_d_p[4],IN,P,adc_data_d_n[4],LVDS_25,,,,,,,,,,,true,,,
15,C17,IOB_X0Y64,IO_L18P_T2_A24_15,125.986,127.252,,,adc_data_d_p[3],IN,P,adc_data_d_n[3],LVDS_25,,,,,,,,,,,true,,,
15,C16,IOB_X0Y68,IO_L16P_T2_A28_15,125.838,127.102,,,adc_data_d_p[2],IN,P,adc_data_d_n[2],LVDS_25,,,,,,,,,,,true,,,
15,B16,IOB_X0Y70,IO_L15P_T2_DQS_15,123.314,124.553,,,adc_data_d_p[1],IN,P,adc_data_d_n[1],LVDS_25,,,,,,,,,,,true,,,
15,E16,IOB_X0Y72,IO_L14P_T2_SRCC_15,122.725,123.958,,,adc_data_d_p[0],IN,P,adc_data_d_n[0],LVDS_25,,,,,,,,,,,true,,,
14,T13,IOB_X0Y11,IO_L19N_T3_A09_D25_VREF_14,56.644,57.213,,,fe_control_attenuation[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,U16,IOB_X0Y15,IO_L17N_T2_A13_D29_14,66.814,67.486,,,fe_control_attenuation[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,T18,IOB_X0Y19,IO_L15N_T2_DQS_DOUT_CSO_B_14,66.180,66.845,,,fe_control_attenuation[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,T15,IOB_X0Y23,IO_L13N_T2_MRCC_14,54.608,55.157,,,fe_control_attenuation[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,V17,IOB_X0Y13,IO_L18N_T2_A11_D27_14,72.742,73.473,,,fe_control_coupling[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,U17,IOB_X0Y17,IO_L16N_T2_A15_D31_14,63.701,64.341,,,fe_control_coupling[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,R17,IOB_X0Y21,IO_L14N_T2_SRCC_14,57.043,57.617,,,fe_control_coupling[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,R15,IOB_X0Y25,IO_L12N_T1_MRCC_14,58.704,59.294,,,fe_control_coupling[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
