Altium Designer Pick and Place Locations
C:\Users\Aleksa\Documents\Altium\FPGA_Module\Project Outputs for FPGA_Module\Pick Place\Pick Place for FPGA_Module.txt

========================================================================================================================
File Design Information:

Date:       23-10-22
Time:       22:26
Revision:   fea2ccf2aa3b92b9095698990ed03057de3edde5
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                  
FID8       PCB                         BottomLayer GEN_FID                     1496.063      275.591       90       ""                                                                                           
FID7       PCB                         TopLayer    GEN_FID                     1259.842      78.740        90       ""                                                                                           
FID6       PCB                         BottomLayer GEN_FID                     275.591       196.850       90       ""                                                                                           
TP5        PCB                         TopLayer    GEN_TP_PCB                  1056.102      1043.307      90       ""                                                                                           
TP4        PCB                         TopLayer    GEN_TP_PCB                  977.362       1043.307      90       ""                                                                                           
TP3        PCB                         TopLayer    GEN_TP_PCB                  819.882       1043.307      90       ""                                                                                           
TP2        PCB                         TopLayer    GEN_TP_PCB                  898.622       1043.307      90       ""                                                                                           
FID5       PCB                         BottomLayer GEN_FID                     1062.992      1141.732      90       ""                                                                                           
FID4       PCB                         BottomLayer GEN_FID                     472.441       1614.173      90       ""                                                                                           
U10        TPS62A01                    TopLayer    TI_SOT563_DRL0006A          711.614       1833.661      180      ""                                                                                           
R61        100k                        TopLayer    GEN_R_0402                  365.157       380.906       180      ""                                                                                           
R60        140k                        TopLayer    GEN_R_0402                  294.291       380.906       180      ""                                                                                           
L3         1uH                         TopLayer    GEN_L_1210                  824.803       1777.559      270      ""                                                                                           
L2         1uH                         TopLayer    GEN_L_1210                  525.591       1777.559      270      ""                                                                                           
L1         1uH                         TopLayer    GEN_L_1210                  1125.984      1777.559      270      ""                                                                                           
FID3       PCB                         TopLayer    GEN_FID                     433.071       275.591       90       ""                                                                                           
FID2       PCB                         TopLayer    GEN_FID                     433.071       1574.803      90       ""                                                                                           
FID1       PCB                         TopLayer    GEN_FID                     1141.732      1141.732      90       ""                                                                                           
R58        100                         TopLayer    GEN_R_0201                  773.622       998.032       180      ""                                                                                           
R16        4.7K                        TopLayer    GEN_R_0201                  1100.394      1539.370      90       ""                                                                                           
U2         MX25U6432FZNI02             TopLayer    MX_WSON8                    136.219       1236.024      90       ""                                                                                           
R19        33                          BottomLayer GEN_R_0201                  834.646       828.740       90       ""                                                                                           
R31        82                          TopLayer    GEN_R_0402                  721.457       1183.071      180      ""                                                                                           
JM2        LSHM-150-04.0-L-DV-A-S-K-TR BottomLayer SAM_LSHM-150-XX.X-XX-DV-A-S 157.480       984.252       270      ""                                                                                           
JM1        LSHM-150-04.0-L-DV-A-S-K-TR BottomLayer SAM_LSHM-150-XX.X-XX-DV-A-S 1417.323      984.252       270      ""                                                                                           
R41        33                          BottomLayer GEN_R_0201                  1006.890      779.528       0        ""                                                                                           
R10        100                         TopLayer    GEN_R_0201                  980.315       340.551       0        ""                                                                                           
R9         100                         TopLayer    GEN_R_0201                  1035.433      340.551       0        ""                                                                                           
R8         100                         TopLayer    GEN_R_0201                  1116.142      450.787       90       ""                                                                                           
R7         100                         BottomLayer GEN_R_0201                  1029.528      512.795       90       ""                                                                                           
