Altium Designer Pick and Place Locations
C:\Users\Aleksa\Documents\Altium\FPGA_Module\Project Outputs for FPGA_Module\Pick Place\Pick Place for FPGA_Module_Panel.txt

========================================================================================================================
File Design Information:

Date:       19-10-22
Time:       22:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator      Comment                     Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                  
Designator3_3   Comment                     TopLayer    MH_M3                       3425.197      2559.055      180      ""                                                                                           
Designator5_1   Comment                     TopLayer    MH_M3                       3425.197      196.850       180      ""                                                                                           
Designator5     Comment                     TopLayer    MH_M3                       590.551       196.850       0        ""                                                                                           
Designator3     Comment                     TopLayer    MH_M3                       590.551       2559.055      0        ""                                                                                           
Designator2_2   Comment                     TopLayer    GEN_FID                     3740.157      314.961       180      ""                                                                                           
Designator3_2   Comment                     BottomLayer GEN_FID                     3740.157      314.961       0        ""                                                                                           
Designator3     Comment                     BottomLayer GEN_FID                     196.850       196.850       180      ""                                                                                           
Designator3_1_1 Comment                     BottomLayer GEN_FID                     3818.897      2559.055      180      ""                                                                                           
Designator2_1_1 Comment                     BottomLayer GEN_FID                     196.850       2559.055      180      ""                                                                                           
Designator2_1   Comment                     TopLayer    GEN_FID                     196.850       2559.055      0        ""                                                                                           
Designator3_1   Comment                     TopLayer    GEN_FID                     3818.898      2559.055      0        ""                                                                                           
Designator2     Comment                     TopLayer    GEN_FID                     196.850       196.850       0        ""                                                                                           
FID6            PCB                         BottomLayer GEN_FID                     669.291       590.551       90       ""                                                                                           
TP5             PCB                         TopLayer    GEN_TP_PCB                  1449.803      1437.008      90       ""                                                                                           
TP4             PCB                         TopLayer    GEN_TP_PCB                  1371.063      1437.008      90       ""                                                                                           
TP3             PCB                         TopLayer    GEN_TP_PCB                  1213.583      1437.008      90       ""                                                                                           
TP2             PCB                         TopLayer    GEN_TP_PCB                  1292.323      1437.008      90       ""                                                                                           
FID5            PCB                         BottomLayer GEN_FID                     1456.693      1535.433      90       ""                                                                                           
FID4            PCB                         BottomLayer GEN_FID                     866.142       2007.874      90       ""                                                                                           
U10             TPS62A01                    TopLayer    TI_SOT563_DRL0006A          1105.315      2227.362      180      ""                                                                                           
R61             100k                        TopLayer    GEN_R_0402                  758.858       774.606       180      ""                                                                                           
R60             140k                        TopLayer    GEN_R_0402                  687.992       774.606       180      ""                                                                                           
L3              1uH                         TopLayer    GEN_L_1210                  1218.504      2171.260      270      ""                                                                                           
L2              1uH                         TopLayer    GEN_L_1210                  919.291       2171.260      270      ""                                                                                           
L1              1uH                         TopLayer    GEN_L_1210                  1519.685      2171.260      270      ""                                                                                           
FID3            PCB                         TopLayer    GEN_FID                     826.772       669.291       90       ""                                                                                           
FID2            PCB                         TopLayer    GEN_FID                     826.772       1968.504      90       ""                                                                                           
FID1            PCB                         TopLayer    GEN_FID                     1535.433      1535.433      90       ""                                                                                           
R58             100                         TopLayer    GEN_R_0201                  1167.323      1391.732      180      ""                                                                                           
R16             4.7K                        TopLayer    GEN_R_0201                  1494.094      1933.071      90       ""                                                                                           
U2              MX25U6432FZNI02             TopLayer    MX_WSON8                    529.920       1629.725      90       ""                                                                                           
